City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
142,La Palma,US,84.49,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
143,Porto Nacional,BR,73.4,clear sky,-10.7081,-48.4172,Vila Real Hotel
144,Lugano,CH,78.4,scattered clouds,46.0101,8.96,Hotel Albergo Acquarello
146,Farmington,US,86.77,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
153,Centenario Do Sul,BR,65.61,broken clouds,-22.8211,-51.5953,Pousada Familiar Paranapanema
154,Lompoc,US,69.94,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
155,Yumen,CN,70.72,clear sky,40.2833,97.2,
158,Andijon,UZ,87.08,clear sky,40.7821,72.3442,"Hotel ""Bog'ishamol"""
160,Trindade,BR,71.35,clear sky,-16.6494,-49.4889,Pousada Central
163,Carnarvon,AU,68.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
166,Belmonte,BR,70.54,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
167,Bara,NG,70.68,overcast clouds,10.3744,10.7288,
171,Hobyo,SO,75.99,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
174,Miri,MY,87.24,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
175,Laguna,US,87.62,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
178,Barra Do Garcas,BR,66.18,clear sky,-15.89,-52.2567,Pousada Tropical
179,Yulara,AU,66.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
180,Hilo,US,79.29,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
182,Salalah,OM,75.29,mist,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
186,San Pedro,PH,83.43,light rain,14.35,121.0167,Palines Apartment and Guesthouse
188,Beyneu,KZ,84.79,broken clouds,45.3167,55.2,NUR
189,Ribeira Grande,PT,72.41,clear sky,38.5167,-28.7,Quinta da Meia Eira
190,Alappuzha,IN,79.68,overcast clouds,9.49,76.3264,Panoramic Sea Resort
