City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Yuanping,CN,38.7153,112.7575,87.55,35,0,3.22,clear sky
107,Sitka,US,57.0531,-135.33,55.29,88,100,9.22,light rain
108,Kodiak,US,57.79,-152.4072,56.71,67,20,10.36,few clouds
109,Touros,BR,-5.1989,-35.4608,72.45,93,95,8.28,overcast clouds
110,Coihaique,CL,-45.5752,-72.0662,31.95,86,75,6.91,light snow
111,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.67,94,1,7.25,clear sky
112,Akdepe,TM,42.0551,59.3788,100.9,15,0,4.38,clear sky
113,Nhulunbuy,AU,-12.2333,136.7667,81.21,57,40,17.27,scattered clouds
114,Saint-Augustin,CA,51.226,-58.6502,57.9,87,98,10.02,overcast clouds
115,Caravelas,BR,-17.7125,-39.2481,69.73,81,0,5.61,clear sky
116,Bluff,NZ,-46.6,168.3333,47.8,71,100,8.66,overcast clouds
117,Tongren,CN,27.7172,109.1853,89.87,63,55,7.43,broken clouds
118,Xuddur,SO,4.1213,43.8894,68.41,76,17,18.39,few clouds
119,North Bend,US,43.4065,-124.2243,59.16,100,100,6.91,overcast clouds
120,Broome,US,42.2506,-75.833,79.86,70,0,9.22,clear sky
121,Georgetown,MY,5.4112,100.3354,87.73,72,20,2.3,few clouds
122,Puerto Ayora,EC,-0.7393,-90.3518,68.56,96,75,1.99,broken clouds
123,Mar Del Plata,AR,-38.0023,-57.5575,55.09,68,0,17.27,clear sky
124,Samarai,PG,-10.6167,150.6667,83.14,71,4,12.37,clear sky
125,Lagoa,PT,39.05,-27.9833,70.75,84,10,5.5,clear sky
126,Iqaluit,CA,63.7506,-68.5145,52.7,87,100,5.99,overcast clouds
127,Lebu,CL,-37.6167,-73.65,50.36,92,100,3.6,overcast clouds
128,Gat,IL,31.61,34.7642,75.88,100,1,3.47,clear sky
129,Yacuiba,BO,-22.038,-63.6797,66.29,68,54,4.81,broken clouds
130,Homer,US,59.6425,-151.5483,57.09,68,0,17.0,clear sky
131,Belyy Yar,RU,53.6039,91.3903,73.85,49,0,4.47,clear sky
132,Arraial Do Cabo,BR,-22.9661,-42.0278,70.29,83,41,9.95,scattered clouds
133,Taltal,CL,-25.4,-70.4833,56.77,88,100,1.5,overcast clouds
134,Narsaq,GL,60.9167,-46.05,46.62,95,64,4.07,broken clouds
135,Omagari,JP,39.45,140.4833,77.11,81,100,7.99,overcast clouds
136,Seymchan,RU,62.8833,152.4333,46.87,76,100,7.11,overcast clouds
137,Cayenne,GF,4.9333,-52.3333,78.1,1,0,1.14,clear sky
138,Bethel,US,41.3712,-73.414,79.63,81,1,3.58,clear sky
139,Moree,AU,-29.4667,149.85,68.02,32,72,18.41,broken clouds
140,Contamana,PE,-7.3333,-75.0167,77.09,69,88,0.83,overcast clouds
141,San Jose,US,37.3394,-121.895,69.89,73,20,11.5,few clouds
142,La Palma,US,33.8464,-118.0467,84.49,69,0,6.91,clear sky
143,Porto Nacional,BR,-10.7081,-48.4172,73.4,43,3,1.3,clear sky
144,Lugano,CH,46.0101,8.96,78.4,69,40,3.44,scattered clouds
145,Ahipara,NZ,-35.1667,173.1667,57.31,64,13,17.54,few clouds
146,Farmington,US,36.7281,-108.2187,86.77,16,0,5.75,clear sky
147,Pevek,RU,69.7008,170.3133,32.25,93,98,16.78,overcast clouds
148,Ossora,RU,59.2353,163.0719,62.83,56,9,6.62,clear sky
149,Luderitz,NA,-26.6481,15.1594,55.47,62,0,15.3,clear sky
150,Pangnirtung,CA,66.1451,-65.7125,45.48,87,100,0.63,overcast clouds
151,Port Lincoln,AU,-34.7333,135.8667,55.94,62,25,16.53,scattered clouds
152,Camana,PE,-16.6228,-72.7111,60.33,85,97,5.86,overcast clouds
153,Centenario Do Sul,BR,-22.8211,-51.5953,65.61,67,69,9.95,broken clouds
154,Lompoc,US,34.6391,-120.4579,69.94,92,75,6.91,broken clouds
155,Yumen,CN,40.2833,97.2,70.72,28,4,14.0,clear sky
156,Kortkeros,RU,61.8106,51.5806,60.8,71,24,2.77,few clouds
157,Bilibino,RU,68.0546,166.4372,56.35,33,32,9.89,scattered clouds
158,Andijon,UZ,40.7821,72.3442,87.08,9,0,1.86,clear sky
159,Santa Maria,BR,-29.6842,-53.8069,63.68,91,37,4.5,scattered clouds
160,Trindade,BR,-16.6494,-49.4889,71.35,50,1,6.26,clear sky
161,Kitwe,ZM,-12.7961,28.2477,59.5,61,83,5.28,broken clouds
162,Ushtobe,KZ,45.2514,77.9838,92.59,9,0,2.93,clear sky
163,Carnarvon,AU,-24.8667,113.6333,68.07,94,100,17.27,overcast clouds
164,Tuatapere,NZ,-46.1333,167.6833,46.2,82,100,4.85,overcast clouds
165,Leningradskiy,RU,69.3833,178.4167,32.99,97,100,20.71,light snow
166,Belmonte,BR,-15.8631,-38.8828,70.54,85,19,7.43,few clouds
